quarter,time_remaining,score_margin,home_or_away,possession_number,player_points,player_fouls,player_shots_attempted,player_3pt_attempted,player_3pt_made,player_fatigue,player_2pt_pct,player_3pt_pct,player_usage_rate,player_position,shot_type
2,283.4175745997583,11,1,184,28,0,22,18,0,0.4850083799932724,0.6442547939453412,0.41727651491527895,0.22122248406383385,2,0
4,340.8736747500154,15,1,145,20,3,10,5,5,0.6379174029114649,0.5216778190625,0.37892748463178205,0.3324543463559883,1,0
3,615.2741231055699,16,0,38,1,5,9,0,0,0.9648294501031478,0.5469770841308783,0.4781552107711874,0.35406888443473494,2,0
3,244.80315796312235,-7,0,25,5,4,10,7,4,0.47131555752026155,0.4793875803858495,0.45707020467211396,0.3658398251314784,4,1
1,626.1477730647633,6,1,32,30,3,3,1,0,0.41840465974645014,0.5534520257039793,0.38718656961004466,0.10436770005144246,1,1
1,63.45679030321787,-2,0,143,23,0,12,4,2,0.9057491739413586,0.6300194171852,0.3778372694352018,0.33664181162450757,4,1
1,559.2948747902142,10,1,13,39,2,7,7,7,0.902580494916344,0.6718548146501551,0.4854922964289692,0.2507883053455704,2,1
4,610.2342957994101,-12,0,186,16,5,19,13,1,0.9924187018831758,0.6911588802205447,0.4042817609897327,0.16184774344859174,5,0
3,130.9087100428839,17,0,178,4,3,14,7,0,0.5508629993083092,0.5280171773804092,0.42844479229237675,0.24962350675343084,1,1
3,309.8495033079843,-4,1,11,1,4,6,5,2,0.3442615410266028,0.6970101576305376,0.2716697605368008,0.3532781400045377,4,0
1,119.15983775783205,-2,1,13,11,3,0,0,0,0.24039006317770362,0.4884867135168044,0.4295764053123148,0.23027481032818783,2,0
4,508.7549728758368,-17,0,97,4,1,24,21,14,0.0340963569516618,0.40209278058551806,0.3161704605516708,0.3971383241797072,5,1
4,385.4503930043928,-10,0,178,40,0,25,22,12,0.7267286242108855,0.6302851131692904,0.2788844808015729,0.28500495540055154,1,0
1,457.43280962999114,1,0,101,19,2,8,7,2,0.2334761737354467,0.4535306945623596,0.4624165272013274,0.24692910074372257,2,1
